programming language,tiobe index ratings,job amount,average salary,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024,location_count,tiobe index ratings_T,job amount_T,average salary_T,linkedin skill_T,wiki view Oct 2024_T,github user count_T,search count Oct 2024_T,stack_overflow_count_2024_T,location_count_T,kmeans_2,agg_cluster,dbscan_cluster,gmm_cluster2,som_cluster,optics_cluster,birch_cluster
Flow,0.0,120,9290698.169868832,0,-1,-1.0,0,0,9,-0.2329050265749095,0.4093068687395952,0.1148869600463586,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.9238879519797552,1,1,0,0,23,35,0
CHAIN,0.0,64,15192250.868864454,0,-1,-1.0,0,0,5,-0.2329050265749095,0.035196878658637,0.7720962487048286,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.5996779555335127,1,1,0,0,28,32,0
Z++,0.0,99,11847031.221049825,0,-1,-1.0,0,0,8,-0.2329050265749095,0.2690156224592359,0.3995655712238409,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.5928354528681947,1,1,0,0,23,35,0
FOCUS,0.0,326,8253786.878237909,0,-1,-1.0,0,0,9,-0.2329050265749095,1.7854971893945482,-0.0005856565907295,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.9238879519797552,1,1,0,1,23,-1,0
Python,21.9,675,6328999.928444785,113000,6100,2736.0,86,311,10,9.84282038654554,4.117004091863377,-0.2149339690793958,4.448936271771059,4.303812061439954,4.524059237452389,4.748875805626605,3.3808961157279955,2.254940451091316,0,0,-1,1,5,-1,1
kernel,0.0,1,34507957.0,0,-1,-1.0,27,0,1,-0.2329050265749095,-0.3856768601824408,2.923133803370755,-0.290616684561359,-0.29391470507639,-0.1988286361903127,1.2042981512425457,-0.3563138748987036,-0.7245320409127298,1,1,0,0,35,-1,0
Address,0.0,141,6299805.372725985,0,-1,-1.0,0,0,8,-0.2329050265749095,0.5495981150199545,-0.2181851360476951,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.5928354528681947,1,1,0,0,23,36,0
ASP.NET,0.0,84,5711475.593743629,12000,8,16.0,6,63,7,-0.2329050265749095,0.1688075894018364,-0.2837027744155426,0.2126986736332341,-0.2653573959675929,-0.1918615831067552,-0.05733118336873,0.4007415251317854,1.261782953756634,1,1,0,1,16,-1,0
C#,5.62,225,6280696.306146191,32000,1200,310.0,34,146,9,2.352737750673352,1.1107631001413916,-0.2203131617884414,1.0515576039575558,0.2285160674433698,0.7308858919599714,1.6248412627796374,1.398131972791001,1.9238879519797552,1,0,0,1,10,-1,0
JS++,0.0,181,5600773.319669451,0,-1,-1.0,0,0,8,-0.2329050265749095,0.8168195365063531,-0.2960308118843172,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.5928354528681947,1,1,0,0,23,36,0
C,8.38,362,5928978.561136166,25000,1200,1252.0,41,120,9,3.622555199998122,2.025996468732307,-0.2594811876955794,0.7579569783440432,1.8109269604131888,0.7308858919599714,2.045384374316729,1.0856964108736564,1.9238879519797552,0,0,0,1,11,-1,0
GraphQL,0.0,62,5751854.840652354,4200,-1,-1.0,1,0,7,-0.2329050265749095,0.0218358075843171,-0.2792060567734271,-0.1144563091932514,-0.29391470507639,-0.1988286361903127,-0.3577191201809385,-0.3563138748987036,1.261782953756634,1,1,0,1,22,-1,0
Go,2.02,211,7847129.7347823875,15000,1000,28.0,30,249,8,0.6964541211193057,1.017235602621152,-0.0458718491589621,0.3385275131818824,-0.2451992954202066,0.5760624901031381,1.3845309133298709,2.6358574680789437,1.5928354528681947,1,0,0,1,3,40,0
Ada,0.73,71,7701312.460197072,0,0,100.0,0,11,9,0.1029524871957722,0.0819606274187568,-0.0621103667478404,-0.290616684561359,-0.1242506921358892,-0.1980545191810285,-0.4177967075433803,-0.2241295987029039,1.9238879519797552,1,1,0,1,23,-1,0
Ruby,0.99,112,7351875.455507939,3500,1100,330.0,2,42,9,0.2225729715524533,0.3558625844423154,-0.1010244046283758,-0.1438163717546026,0.2621129016890136,0.6534741910315548,-0.2976415328184968,0.1483897251216223,1.9238879519797552,1,1,0,1,17,-1,0
MariaDB,0.0,24,5157964.20480754,2600,-1,85.0,78,204,2,-0.2329050265749095,-0.2320245428277615,-0.3453429638268747,-0.1815650236191971,-0.149448317820122,-0.1988286361903127,4.268255106727072,2.0951036109143084,-0.3934795418011692,1,1,0,1,1,-1,0
Scheme,0.05,6,11844474.673449611,0,1,-1.0,0,0,3,-0.2099010872755477,-0.352274182496641,0.3992808687200331,-0.290616684561359,-0.29391470507639,-0.1972804021717443,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,27,27,0
Expect,0.0,33,17920520.2997776,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.1718997229933219,1.0759220558122078,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,34,-1,0
Copilot,0.0,8,10416144.382139197,0,-1,-1.0,0,0,0,-0.2329050265749095,-0.338913111422321,0.2402190111717271,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-1.0555845400242905,1,1,0,0,32,28,0
Solidity,0.27,4,9521067.869493987,1000,78,68.0,10,19,2,-0.1086837543583559,-0.3656352535709609,0.1405414130591869,-0.2486737380451429,-0.1780056269289192,-0.1376733924568635,0.1829791660810366,-0.1279955796514132,-0.3934795418011692,1,1,0,1,13,31,0
solid,0.0,338,6382359.167111682,0,-1,-1.0,0,0,7,-0.2329050265749095,1.865663615840468,-0.2089917723260571,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.261782953756634,1,1,0,1,23,-1,0
pipelines,0.0,244,5560387.992877893,0,-1,-1.0,0,0,7,-0.2329050265749095,1.237693275347431,-0.300528206594939,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,1.261782953756634,1,1,0,1,23,36,0
RAPID,0.0,31,5498341.381929189,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.1852607940676418,-0.307437847349686,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,20,5,0
NPL,0.0,1,11004708.625,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.3057627599289296,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,11,0
april,0.0,3,4708513.986111111,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3723157891081208,-0.3953946830239506,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,30,17,0
flagship,0.0,11,6203420.772235206,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.3188715048108411,-0.2289187273510408,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,2,0
Swift,0.98,96,6856960.628534172,4600,271,95.0,0,49,5,0.217972183692581,0.248974015847756,-0.1561391579774927,-0.0976791305867649,-0.1326499006973001,0.0117311903349806,-0.4177967075433803,0.2325069917916767,0.5996779555335127,1,1,0,1,15,-1,0
Small,0.0,72,13011626.419631569,0,-1,-1.0,0,0,6,-0.2329050265749095,0.0886411629559168,0.5292573355904011,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.9307304546450732,1,1,0,0,22,32,0
Kotlin,0.97,117,6101024.9262127,8300,1100,326.0,11,135,6,0.2133713958327086,0.3892652621281153,-0.2403217435670082,0.0575097715232345,0.2553935348398848,0.6534741910315548,0.2430567534434783,1.2659476965952017,0.9307304546450732,1,1,0,1,9,1,0
Simplicity,0.0,5,10856018.1374031,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3589547180338009,0.2892042753117423,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,27,9,0
Perl,0.56,18,7126649.348725472,1200,42,171.0,1,14,3,0.0247390935779422,-0.2721077560507214,-0.1261060563521693,-0.2402851487418996,-0.004981930563854,-0.1655416047910935,-0.3577191201809385,-0.1880793415585949,-0.0624270426896085,1,1,0,1,14,30,0
C++,11.6,118,5903931.743223736,58000,2500,2039.0,69,146,6,5.104008890877019,0.3959457976652752,-0.2622704538807627,2.1420742133791744,3.1329623879792696,1.7372380040293882,3.7275568204650966,1.398131972791001,0.9307304546450732,0,0,0,1,11,-1,0
Scratch,1.41,25,6819342.410831299,1000,-1,4784.0,60,0,4,0.4158060616670921,-0.2253440072906016,-0.1603284016152412,-0.2486737380451429,7.744127888193871,-0.1988286361903127,3.1868585342031213,-0.3563138748987036,0.268625456421952,1,0,0,1,11,43,0
R,1.09,148,8115521.460633558,21000,301,3071.0,35,41,8,0.2685808501511769,0.5963618637800742,-0.0159831835441509,0.5901851922791789,4.866559035054486,0.0349547006135056,1.684918850142079,0.136372972740186,1.5928354528681947,1,0,0,1,11,43,0
F,0.0,14,15115687.341627616,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.2988298981993612,0.7635699736990883,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,28,-1,0
Rust,1.45,27,8891196.888704723,856,101,188.0,6,152,5,0.4342092131065815,-0.2119829362162817,0.0703976593142485,-0.254713522343478,0.0235753785449431,-0.1198687012433277,-0.05733118336873,1.470232487079619,0.5996779555335127,1,1,0,1,8,1,0
