programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024
Click,0.0,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']",0,0,-1.0,0,0
Adept,0.0,21,7698934.300564067,"['Jakarta', 'East Java', 'Banten', 'West Java']",0,-1,-1.0,0,0
.QL,0.0,26,4766819.031018988,"['Central Java', 'East Java', 'Jakarta']",0,-1,-1.0,0,0
dss,0.0,2,8298783.857954545,['Jakarta'],0,-1,-1.0,0,0
SPARK,0.05,82,3916176.649491272,"['Bali', 'East Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
Pure,0.0,3,10880799.885335917,"['East Java', 'Jakarta']",0,5,-1.0,0,0
GAP,0.0,23,27730938.96393032,"['West Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",0,-1,-1.0,0,0
Falcon,0.0,2,11286666.666666668,['Jakarta'],0,-1,-1.0,0,0
Alpha,0.0,3,8374726.930320151,['Jakarta'],0,-1,-1.0,0,0
Plot,0.0,46,9235123.102766791,"['West Java', 'Lampung', 'East Java', 'Jakarta', 'Central Java', 'South Sulawesi', 'South Sumatra']",0,-1,-1.0,0,0
Joy,0.0,57,6746368.332314458,"['Bali', 'Yogyakarta', 'East Java', 'Jakarta']",0,-1,-1.0,0,0
CONVERT,0.0,23,10261980.620536214,"['Bali', 'Yogyakarta', 'West Java', 'Jakarta']",0,-1,-1.0,0,0
Frank,0.0,1,9373333.333333334,['Bali'],0,-1,-1.0,0,0
P,0.0,38,12245767.634765225,"['East Kalimantan', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
lever,0.0,1,9373333.333333334,['Jakarta'],0,-1,-1.0,0,0
JADE,0.0,5,7745929.005253856,['Jakarta'],0,-1,-1.0,0,0
Blue,0.0,3,85880514.92929292,"['Bali', 'Banten']",0,-1,-1.0,0,0
THINK C,0.0,11,5742402.231619129,['Jakarta'],0,-1,-1.0,0,0
Inform,0.05,32,8375049.3760997085,"['East Kalimantan', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
NATURAL,0.05,68,9016125.28043656,"['Bali', 'West Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
Reason,0.0,11,20211266.15093236,['Jakarta'],0,-1,-1.0,0,0
ARM,0.0,6,4633452.373737373,['Jakarta'],0,-1,-1.0,0,0
SR,0.0,6,6667699.874120644,"['Yogyakarta', 'West Java', 'Jakarta']",0,-1,-1.0,0,0
Crystal,0.05,11,5114617.806365192,"['Banten', 'Jakarta']",0,9,-1.0,0,12
PowerHouse,0.0,11,6412519.519480521,"['East Java', 'West Java', 'Jakarta']",0,-1,-1.0,0,0
Conceptual,0.0,22,6264479.335630361,"['Bali', 'North Sumatra', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
Factor,0.0,10,7026807.65904218,"['Central Java', 'Jakarta']",0,0,-1.0,0,0
False,0.0,2,5447083.333333334,['Jakarta'],0,-1,-1.0,0,0
RPL,0.0,4,7686666.666666667,"['Yogyakarta', 'Jakarta']",0,-1,-1.0,0,0
SQLite,0.0,12,5033166.800400964,"['Central Java', 'East Java', 'Jakarta']",3600,-1,105.0,33,256
fe,0.0,7,4044916.808463504,['Jakarta'],0,-1,-1.0,0,0
Chrome,0.0,3,10337008.121447029,"['West Java', 'Jakarta']",0,-1,-1.0,0,0
Tao,0.0,4,7667711.864406779,['Jakarta'],0,-1,-1.0,0,0
Flavors,0.0,4,4648998.8566308245,"['Central Java', 'Jakarta']",0,-1,-1.0,0,0
Cyber,0.0,15,4851949.876868513,"['Central Java', 'West Java', 'Jakarta']",0,-1,-1.0,0,0
Bash,0.05,42,6491318.345677298,"['East Kalimantan', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",319,-1,77.0,0,0
DEMOS,0.0,7,8340721.645021646,"['West Java', 'Jakarta']",0,-1,-1.0,0,0
Q,0.05,4,13753915.681818182,['Jakarta'],0,-1,-1.0,0,0
PROMETHEUS,0.0,29,4657207.470512622,"['North Sumatra', 'Yogyakarta', 'Central Java', 'Jakarta']",152,-1,-1.0,0,0
Gist,0.0,3,4191111.111111112,['Jakarta'],0,-1,-1.0,0,0
PILOT,0.0,6,10826544.252877614,['Jakarta'],0,-1,-1.0,0,0
REDUCE,0.0,28,5395293.120739435,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Banten']",0,-1,-1.0,0,0
Monkey,0.0,1,9373333.333333334,['Jakarta'],0,-1,-1.0,0,0
Z,0.0,1,9373333.333333334,['Bali'],0,-1,-1.0,0,0
abs,0.0,1,9373333.333333334,['Jakarta'],0,-1,-1.0,0,0
FaCT,0.0,5,29778526.01832276,"['Bali', 'Jakarta']",0,-1,-1.0,0,0
MACRO,0.0,2,68067052.86363636,['Jakarta'],0,-1,-1.0,0,0
FLUX,0.0,4,11001366.058827206,"['Banten', 'Jakarta']",0,0,-1.0,0,0
ECMAScript,0.0,3,13176238.465116275,"['Yogyakarta', 'Jakarta']",68,-1,-1.0,1,0
Argus,0.0,3,10322222.222222224,['Jakarta'],0,-1,-1.0,0,0
Assembly,1.13,6,9375530.66194122,"['Riau Islands', 'Central Java', 'East Java']",2200,48,486.0,54,35
PowerShell,0.21,21,5552177.658067975,"['Central Java', 'Jakarta']",847,46,8.0,38,63
Visual FoxPro,0.67,5,4916170.059592846,"['East Java', 'Jakarta']",1500,-1,125.0,2,0
