languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
C++;Hack;PHP;SQL;VBA;VB.NET;Visual Basic 6;HTML;CSS,C++;Hack;PHP;SQL,"MySQL;IBM Db2;Apache HBase;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage","MySQL;IBM Db2;Apache HBase;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,
JavaScript;PHP;SQL;HTML;CSS,JavaScript;SQL;HTML;CSS,MySQL,Redis;MySQL,Node.js,Angular;Node.js;React
C#;Java;JavaScript;PHP;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,C#;F#;Go;Java;JavaScript;PHP;Python;R;Ruby;Rust;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;MariaDB,Redis;SQLite;MariaDB,,Angular;.NET Core;Node.js;React;Cordova;Xamarin;TensorFlow
JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,C++;Perl;Python;Ruby,MySQL;MariaDB,Cassandra,,Angular;Django;Hadoop;Node.js;React
C;C++;C#;Java;JavaScript;PHP;Python;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,,SQL Server;MySQL;MariaDB,,Angular;Django;Cordova;Xamarin,
JavaScript;PHP;Ruby;SQL;HTML;CSS,Erlang;JavaScript;PHP;Python;Ruby;Rust;HTML;CSS,MongoDB;MySQL;PostgreSQL;MariaDB,MongoDB;MySQL;PostgreSQL;MariaDB,,Angular;Django;React;Spring
Groovy;Java;JavaScript;R;SQL;HTML;CSS;Bash/Shell,Groovy;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,MySQL;MariaDB;Amazon RDS/Aurora;Google Cloud Storage,MySQL;MariaDB;Amazon RDS/Aurora;Google Cloud Storage,Angular;Node.js;Spring,Node.js;React;Spring
C++;JavaScript;PHP;SQL;HTML;CSS,Go;JavaScript;PHP;SQL;HTML;CSS,MySQL;SQLite,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,Node.js,Node.js
PHP,JavaScript,MySQL,MongoDB,Spring,Node.js
Java,C++,SQL Server;MySQL,MongoDB;PostgreSQL,,
JavaScript;PHP;SQL;HTML;CSS,CoffeeScript;JavaScript;PHP;SQL;HTML;CSS,SQL Server;MySQL;MariaDB;Memcached,SQL Server;MySQL;PostgreSQL;SQLite;Memcached;Google BigQuery;Google Cloud Storage,Angular;Node.js;React;Cordova,Node.js;React;Cordova
Java;JavaScript;PHP;Python;HTML;CSS,,MySQL;MariaDB,,,
Lua;PHP;Python;HTML;CSS,C#;Lua;Python;Scala;HTML;CSS,MySQL;SQLite,MongoDB;Redis;PostgreSQL;SQLite,,
C++;Java;JavaScript;PHP;Python;SQL;VB.NET;HTML;CSS;Bash/Shell,Assembly;C;CoffeeScript;Go;Perl;Ruby,MySQL;MariaDB,MongoDB;SQL Server;PostgreSQL;Oracle,,Angular;Django
Java;JavaScript;PHP;HTML;CSS;Bash/Shell,C++;Go;Python;Ruby;Rust;Bash/Shell,MySQL,,Angular;Spring,Django;TensorFlow
JavaScript;PHP;HTML;CSS,Java;JavaScript;PHP;Python;HTML;CSS,MySQL;MariaDB,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB,,Node.js
Go;Java;JavaScript;PHP;SQL;Kotlin;HTML,C;Go;Java;JavaScript;Ruby;SQL;Kotlin;HTML,MongoDB;Redis;MySQL;PostgreSQL;Oracle;MariaDB;Elasticsearch,MongoDB;Redis;MySQL;PostgreSQL;Oracle;MariaDB;Elasticsearch,Angular;Node.js;Spring,Angular;Node.js;Spring
Java;JavaScript;PHP;SQL;HTML;CSS,Java;JavaScript;PHP;SQL;HTML;CSS,,Cassandra;MongoDB;MySQL;PostgreSQL;MariaDB;Apache HBase,Node.js;React,Hadoop;Node.js;React
Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS,SQL Server;MySQL;SQLite;MariaDB,SQL Server;MySQL;SQLite;MariaDB,,
C;Java;JavaScript;PHP;Python;HTML;CSS,JavaScript,MySQL;MariaDB;Google BigQuery,MongoDB;MySQL;PostgreSQL;MariaDB;Google BigQuery,Node.js,Angular;Node.js;React;Spark;TensorFlow
C;C++;JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,MySQL;PostgreSQL;Memcached,MySQL;Memcached,Angular;Node.js,Angular;Node.js
Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch","Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Angular;.NET Core;Node.js,Angular;.NET Core;Node.js
,PHP,,MySQL,,
Java;PHP;SQL,C;JavaScript;SQL;Kotlin,MySQL;SQLite,"MongoDB;Oracle;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,Django;Hadoop;Node.js
Java;JavaScript;PHP;SQL;HTML;CSS,Go;Python;Ruby;Kotlin,MongoDB;MariaDB,MongoDB;MariaDB,Node.js,Node.js
Java;SQL;Kotlin;Bash/Shell,Go;Kotlin;Bash/Shell,MongoDB;MySQL,MongoDB;Redis;Elasticsearch,Angular;Node.js;Spring,Spring
C#;Java;JavaScript;PHP;SQL;HTML;CSS,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Angular;Node.js,Node.js
JavaScript;Objective-C;Swift,JavaScript;Objective-C;Swift,MongoDB;MySQL,MySQL,Node.js,Node.js
C#;Java;JavaScript;PHP;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;MariaDB,"MongoDB;PostgreSQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,Hadoop;Node.js;Xamarin
Java;HTML;CSS;Bash/Shell,Groovy;Java;Kotlin;HTML;Bash/Shell,SQL Server;MySQL,SQL Server;MySQL;Google Cloud Storage,,React;Spring
C++;C#;Java;Matlab;PHP;SQL;VB.NET;Delphi/Object Pascal;HTML;CSS,C++;C#;F#;Java;PHP;SQL;Bash/Shell,MySQL;PostgreSQL;SQLite,MySQL;SQLite;Google BigQuery;Google Cloud Storage,.NET Core;Xamarin,.NET Core;Node.js;Xamarin
PHP;SQL;HTML;CSS;Bash/Shell,Go,MySQL,"Cassandra;MongoDB;PostgreSQL;MariaDB;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",Node.js,Node.js
JavaScript;PHP;HTML;CSS,JavaScript;PHP;Python;Rust;Kotlin;HTML;CSS,MongoDB;MySQL;MariaDB,MongoDB;Redis;MySQL;PostgreSQL;MariaDB,,Node.js;React;TensorFlow
Assembly;C;C++;C#;Java;JavaScript;Matlab;PHP;Python;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;R;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;Oracle;MariaDB,Cassandra;MongoDB;Redis;MySQL;SQLite;MariaDB;Apache HBase;Apache Hive;Memcached,Angular;Cordova,Angular;.NET Core;Node.js;TensorFlow
C;C++;Java;JavaScript;PHP;VB.NET;HTML;CSS,C#;JavaScript;PHP;HTML;CSS,MySQL;MariaDB,MySQL;MariaDB,.NET Core;Node.js,Node.js
C;C++;Java;JavaScript;PHP;SQL;Visual Basic 6;HTML;CSS,C;C++;Java;JavaScript;SQL;VB.NET;Kotlin;HTML;CSS,MongoDB;MySQL;SQLite;MariaDB,MongoDB;MySQL;SQLite;MariaDB;Google Cloud Storage,Node.js;React;Xamarin,Node.js;React;Xamarin
C++;Java;JavaScript;Matlab;PHP;SQL;HTML;CSS,Java;PHP;SQL;HTML;CSS,MySQL;MariaDB,MySQL,Spring,
C;C++;Java;JavaScript;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,C++;Java;JavaScript;Matlab;PHP;Python;R;Ruby;SQL;HTML;CSS;Bash/Shell,MySQL;Elasticsearch,Cassandra;MongoDB;SQL Server;MySQL;Oracle;Apache Hive;Elasticsearch,,
JavaScript;HTML;CSS,JavaScript;PHP;HTML;CSS,MongoDB;MySQL;MariaDB,MongoDB;MySQL;MariaDB,Angular,Angular;React
Assembly;C;C++;C#;Java;JavaScript;Matlab;PHP;SQL;HTML;CSS,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;HTML,SQL Server;MySQL,MongoDB;SQL Server;MySQL,Node.js,Django;Node.js
C,Java,MySQL,MariaDB,,Torch/PyTorch
C++;C#;Java;JavaScript;Matlab;SQL;VB.NET;Visual Basic 6;HTML,Java;Matlab;SQL;Visual Basic 6;HTML,MySQL;Google Cloud Storage,MySQL;Google Cloud Storage,,
C;C++;C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C++;C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL;SQLite,MongoDB;Redis;MySQL;PostgreSQL;SQLite,,Angular;Django;Node.js;React;Xamarin;Spring
C#;Java;JavaScript;PHP;Ruby;SQL;VBA;VB.NET;Delphi/Object Pascal;HTML;CSS;Bash/Shell,SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite;Oracle;MariaDB;Memcached;Neo4j,MySQL;MariaDB,Angular,
C++;C#;Java;JavaScript;PHP;SQL;VB.NET;HTML;CSS,Java;JavaScript;PHP;SQL;Kotlin;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Memcached,MongoDB;Redis;PostgreSQL;MariaDB;Memcached;Elasticsearch,Node.js;React;Cordova,Node.js;React
C++;Java;JavaScript;PHP;SQL;VB.NET;HTML;CSS,C++;CoffeeScript;JavaScript;PHP;Python;HTML;CSS,MongoDB;MySQL,"MongoDB;MySQL;Apache Hive;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Angular;React,Angular;Node.js;React
C++,C;C++;Java;Matlab;Python;R;Scala;Swift,,Cassandra;SQL Server;MySQL;Apache HBase;Apache Hive;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage,,Angular;Hadoop;Node.js;React;Spark;Cordova;TensorFlow
C;C++;Java;Matlab;Objective-C;PHP;Python;HTML;Bash/Shell,JavaScript;Python;HTML;CSS;Bash/Shell,SQLite,SQLite,Django,
C;C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS,Go;Java;JavaScript;PHP;SQL;Kotlin;HTML;CSS,SQL Server;MySQL;PostgreSQL,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Elasticsearch,React;Spring,Angular;Node.js;React;Spring
Assembly;C;C++;C#;CoffeeScript;Java;JavaScript;Matlab;PHP;Python;Ruby;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;Python;R;Ruby;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;Memcached;Elasticsearch,Cassandra;MongoDB;Redis;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;Elasticsearch,.NET Core;Hadoop;Node.js,Angular;Django;Hadoop;Node.js;React;Cordova;TensorFlow
C#;Java;JavaScript;TypeScript;VB.NET;HTML;CSS,Go;JavaScript;Objective-C;TypeScript;HTML;CSS,MongoDB;MySQL;SQLite,PostgreSQL,Node.js;React;Cordova,
Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch","Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch
C;C++;Java;JavaScript;Matlab;PHP;Python;HTML;CSS,C;C++;CoffeeScript;Go;Java;JavaScript;Python;Kotlin;HTML;CSS,MongoDB;MySQL,Google Cloud Storage,Angular;Hadoop;Node.js,Angular;Django;Node.js;React
C++;C#;JavaScript;Python;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,C#;Java;JavaScript;SQL;HTML;CSS,SQLite,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle,Django,Django;Node.js;React
C++;Java;JavaScript;PHP;Python;HTML;CSS,Haskell;Python;Kotlin,MySQL;PostgreSQL,Elasticsearch,Angular;React;Spring,React;Spring;TensorFlow
C;C++;Java;PHP;Kotlin;HTML;CSS,Java;PHP;Swift;Kotlin;HTML;CSS,"MongoDB;MySQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",React,Angular;React
PHP;SQL;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;SQL;Kotlin;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;MariaDB;Memcached,MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Memcached;Google Cloud Storage;Elasticsearch,Node.js,Node.js;React;TensorFlow
C++;C#;Java;Python;HTML;CSS,C;Go;Python;Kotlin,"SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",PostgreSQL;Elasticsearch,Xamarin,Hadoop
C++;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,Python,MongoDB;MySQL;MariaDB,,Django,Angular;Node.js;React;TensorFlow
PHP;HTML;CSS,SQL;VB.NET;Visual Basic 6,MySQL,,,Node.js
C++;Go;Java;SQL;HTML;CSS,C++;Go;Java;Lua;Python;SQL,SQLite,SQLite,,TensorFlow
C;C++;Java;JavaScript;PHP;SQL;Visual Basic 6;HTML;CSS,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;MariaDB;Apache HBase;Apache Hive,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Angular,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch
,C;C++;Java;JavaScript;PHP;Python;Ruby;HTML;CSS,,"MySQL;PostgreSQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,Node.js;Xamarin
C++;C#;Java;JavaScript;PHP;VB.NET;HTML;CSS,Java;Kotlin,MariaDB,MariaDB,,
Assembly;C;C++;C#;Java;JavaScript;Lua;Matlab;PHP;Python;SQL;VBA;HTML;CSS;Bash/Shell,C;C++;Go;Java;Python;R;SQL;Swift;Kotlin;Bash/Shell,MongoDB;SQL Server;MySQL;SQLite;MariaDB,MySQL;SQLite,Node.js;Cordova,Node.js;Cordova
C#;Swift,Python;Swift,,MongoDB;MySQL;SQLite,,
,Assembly;C;Hack;Java;JavaScript;PHP;SQL;HTML;CSS,,"SQL Server;MySQL;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,
C#;Java;JavaScript;PHP;HTML;CSS,Java;JavaScript;HTML;CSS,MongoDB;MySQL;MariaDB,MongoDB;MySQL;MariaDB,Node.js;React,Node.js;React
JavaScript;PHP,Go;JavaScript;PHP;Python,MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;MySQL;PostgreSQL,Node.js,Node.js
C;C++;C#;Java;PHP;Python;SQL,C#;Go;JavaScript;Python;Ruby;SQL,"MongoDB;SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;SQL Server;MySQL;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",.NET Core;Xamarin,Angular;.NET Core;React;Xamarin
C;C++;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Assembly;CoffeeScript;Java;JavaScript;PHP;Python;SQL;TypeScript;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;MariaDB;Google Cloud Storage,MySQL;PostgreSQL;MariaDB,Angular;Django;Hadoop;React;Cordova;Xamarin,Angular;Django;Hadoop;Node.js;React
C#;Java;JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,C;C++;CoffeeScript;Clojure;Erlang;Go;Haskell;Scala;Swift;Kotlin,MySQL;Google Cloud Storage,PostgreSQL;SQLite;Google Cloud Storage,Node.js;React,Angular;Node.js;React;Spring
C;C++;C#;JavaScript;Lua;PHP;Python;Ruby;HTML;CSS,C++;JavaScript;Python;HTML;CSS;Bash/Shell,MongoDB;MySQL;MariaDB,,Angular;Node.js;React,Node.js;React
Go;Java;Python,C++;Go;Haskell;Java;Lua,SQLite,SQLite,,
Java;PHP;HTML;CSS,JavaScript;Ruby;Swift;Kotlin,MySQL;SQLite;MariaDB,MongoDB;SQL Server;PostgreSQL,,Angular;Node.js;React;TensorFlow
C++;HTML;CSS,C;C++;C#;Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS,,"SQL Server;MySQL;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",.NET Core,.NET Core;Node.js;Xamarin
C++;JavaScript;PHP;Python;Visual Basic 6;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;Java;JavaScript;Lua;PHP;Python;VB.NET;HTML;CSS;Bash/Shell,,"SQL Server;MySQL;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,.NET Core;Node.js;Xamarin;TensorFlow
Assembly;C;C++;C#;SQL;HTML;CSS,Assembly;C;C++;C#;PHP;SQL;HTML;CSS,MySQL;Oracle,MySQL;Oracle,,
Assembly;C;C++;C#;Haskell;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C;C++;Clojure;Go;Haskell;JavaScript;Python;Ruby;Bash/Shell,MongoDB;MySQL;PostgreSQL;MariaDB,Cassandra;MongoDB;Redis;MariaDB,Node.js,Hadoop;Node.js;React;TensorFlow
C;C++;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,C;C++;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,MySQL,MySQL;SQLite,,Node.js;TensorFlow;Torch/PyTorch
C++;Java;PHP;SQL;HTML;CSS,C#;JavaScript;PHP;Python;Ruby;SQL;Kotlin;HTML;CSS,MySQL;SQLite;MariaDB,MySQL;PostgreSQL;SQLite;MariaDB,,Django;Node.js
C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL,MongoDB;Redis;MySQL;PostgreSQL;SQLite;Elasticsearch,Cordova,Angular;Django;Node.js
C#;Java;Python;HTML;CSS,C++;C#;Java;JavaScript;PHP;Python;HTML;CSS,,MySQL,,Angular;Django;Node.js;React;TensorFlow
C++;Java;PHP;SQL;Visual Basic 6;Delphi/Object Pascal;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,MySQL,MySQL,Angular;Node.js;React,Angular;Node.js;React
Java;HTML;CSS,Clojure;Python;HTML;CSS,MySQL,MySQL;MariaDB,,Django
Bash/Shell,C;C++;JavaScript;Objective-C,,,,
Java,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch
C;C++;C#;JavaScript;PHP;SQL;Visual Basic 6;HTML;CSS,C;C++;C#;JavaScript;Lua;Objective-C;Perl;PHP;SQL;Visual Basic 6;HTML;CSS,MySQL,MongoDB;SQL Server;MySQL;PostgreSQL,Node.js,Angular;Django;Node.js;React;Spark;Cordova;Xamarin
Visual Basic 6;Bash/Shell,PHP;Python;SQL;HTML;CSS;Bash/Shell,,SQL Server;MySQL;MariaDB,,
,JavaScript;Python;Ruby,,MongoDB;Redis;MySQL;MariaDB,,Angular;Node.js
C;C++;Go;Java;Lua;Python;SQL,C;C++;Go;Python;Ruby;Rust;SQL;Kotlin,MongoDB;MySQL;PostgreSQL,MySQL;PostgreSQL,Node.js;TensorFlow;Torch/PyTorch,Django;Node.js;TensorFlow;Torch/PyTorch
JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;Ruby;SQL;HTML;CSS,MySQL,MongoDB;Redis;MySQL,,
C++;C#;Java;JavaScript;PHP;Python;SQL;VB.NET;HTML;CSS,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;Ruby;SQL;VB.NET;HTML;CSS,MySQL;MariaDB,SQL Server;MySQL;Oracle;MariaDB,,Angular;Django;Node.js
C;C++;C#;SQL,C#;Java;JavaScript;Python;SQL,MySQL,SQL Server;MySQL;MariaDB,,.NET Core;Node.js;Xamarin
Assembly;C;C++;C#;Java,Assembly;C;C++;C#;Java,,,.NET Core,.NET Core
C++,C;C++;Java;JavaScript;Matlab;PHP;Python;R;Scala;Swift;HTML;CSS,,"Cassandra;SQL Server;MySQL;PostgreSQL;SQLite;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,Angular;Hadoop;Node.js;React;Spark;TensorFlow
C++;JavaScript,C++;Java;JavaScript,MongoDB,MongoDB;SQL Server;MySQL,Node.js,Angular;Node.js
C++;Java;Matlab,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL,MySQL,,React
Java;SQL,C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,MySQL,Cassandra;MongoDB;SQL Server;MySQL;SQLite,,Angular;.NET Core;React;Spring
C;C++;Java;JavaScript;Matlab;PHP;Python;Cobol;HTML;CSS,Assembly;C;C++;C#;Java;JavaScript;Matlab;PHP;Python;Ruby;SQL;Swift;Visual Basic 6;Kotlin;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,SQL Server;MySQL;IBM Db2,SQL Server;MySQL;Google BigQuery;Google Cloud Storage,,Cordova
VB.NET,Assembly;C;C++;Java,,,.NET Core,.NET Core
C++;C#;Go;Java;JavaScript;Lua;Objective-C;Perl;PHP;Python;Ruby;SQL;VB.NET;HTML;CSS;Bash/Shell,Assembly;C;C++;C#;Go;Groovy;JavaScript;Objective-C;Perl;PHP;Python;Ruby;Rust;Scala;SQL;TypeScript;VBA;VB.NET;Kotlin;Ocaml;Cobol;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;Google Cloud Storage,Cassandra,,
C;C++;C#;Java;JavaScript;PHP;SQL;VBA;VB.NET;Visual Basic 6;Cobol;HTML;CSS,Python;Ruby;Swift,SQL Server;MySQL;SQLite;MariaDB,,.NET Core;Node.js,Spring;TensorFlow
C;C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C#;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS,,,,
C;C++;C#;Java,Kotlin,,,,TensorFlow
C;C++;C#;Go;Java;PHP,,MongoDB;MySQL;PostgreSQL,,,
C;C++;C#;Go;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,C;C#;Go;Python;Bash/Shell,MySQL;MariaDB,MySQL,Django;Node.js;Spring,
