languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
JavaScript,Kotlin,MySQL,MySQL,Next.js;Vue.js,Next.js;Nuxt.js;Vue.js
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL,HTML/CSS;JavaScript,InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;SQLite,CodeIgniter;Express;Laravel;Node.js;React,CodeIgniter;Node.js
Python,Go;Python;Rust,BigQuery;Cloud Firestore;Firebase Realtime Database;PostgreSQL,,,
JavaScript;Python;SQL,Python;SQL,BigQuery,BigQuery,,
C;C#;C++;Dart;GDScript;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,jQuery;Laravel;Nuxt.js;React;Vue.js,Next.js;Nuxt.js;Vue.js;WordPress
C#;Dart;Fortran;JavaScript;MATLAB;SQL,C#;Dart;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,ASP.NET CORE;Express;Node.js,ASP.NET CORE;Express;Node.js
HTML/CSS;PHP,Go;HTML/CSS;JavaScript;Python,MySQL;PostgreSQL,Cassandra;Oracle;PostgreSQL;Redis,CodeIgniter;Laravel;Node.js;React;Vue.js;WordPress,Next.js;Node.js;React;Vue.js;WordPress
C#;Dart;HTML/CSS;Java;JavaScript;SQL,C#;Dart;Go;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,jQuery;React;Spring Boot,jQuery;Next.js;React;Spring Boot
HTML/CSS;Java;JavaScript;SQL,Go;Java;Julia;Kotlin;Rust;TypeScript,Cassandra;H2;MariaDB;MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Spring Boot,Angular;Express;Next.js;Spring Boot;Vue.js
C++;HTML/CSS;Java;JavaScript;PHP;Python,Dart;Go;Java;JavaScript;Kotlin;PHP,Firebase Realtime Database;IBM DB2;MySQL;PostgreSQL;SQLite,Firebase Realtime Database;MySQL;PostgreSQL,CodeIgniter;jQuery;Laravel;Node.js;React,Laravel;Node.js;React
Assembly;C;C++;Cobol;Delphi;Fortran;HTML/CSS;JavaScript;Lisp;PHP;PowerShell;SQL;VBA,HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;VBA,H2;IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL,H2;IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL,Angular;AngularJS;jQuery;WordPress,jQuery;WordPress
Dart;Fortran;Go;HTML/CSS;Java;JavaScript;TypeScript,Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,Cloud Firestore;MySQL;PostgreSQL;Supabase,Cloud Firestore;MySQL;PostgreSQL;Supabase,Express;Gatsby;jQuery;Next.js;Node.js;React;Remix;WordPress,Express;NestJS;Next.js;Node.js;React;Remix
C;Kotlin;Python,Elixir;Erlang;F#;GDScript;Kotlin;Python;Rust;Zig,,,Django;WordPress,
C#;Go;Haskell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C#;Go;Haskell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Firebase Realtime Database;MongoDB;MySQL;Oracle,Firebase Realtime Database;MongoDB;MySQL;Oracle,ASP.NET;CodeIgniter;jQuery;Node.js,AngularJS;ASP.NET CORE;Django;Laravel;Next.js;Nuxt.js;Vue.js
C#;HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript,Cosmos DB;Firebase Realtime Database;MySQL;SQLite,Cosmos DB;Firebase Realtime Database;MySQL;SQLite,AngularJS;Laravel;Node.js;React;Vue.js,AngularJS;Laravel;Node.js;Qwik;Svelte;Vue.js
Go;Java;Python,Go;Python,BigQuery;Cassandra;Elasticsearch;MongoDB;PostgreSQL;Redis;Solr,BigQuery;MongoDB;PostgreSQL;Redis,Flask;Next.js,Flask
