language,arima_mae_tiobe,arima_mse_tiobe,arima_rmse_tiobe,arima_mae_wikipedia,arima_mse_wikipedia,arima_rmse_wikipedia,arima_mae_gtrend,arima_mse_gtrend,arima_rmse_gtrend,arima_mae_stackOverflow,arima_mse_stackOverflow,arima_rmse_stackOverflow,ses_mae_tiobe,ses_mse_tiobe,ses_rmse_tiobe,ses_mae_wikipedia,ses_mse_wikipedia,ses_rmse_wikipedia,ses_mae_gtrend,ses_mse_gtrend,ses_rmse_gtrend,ses_mae_stackOverflow,ses_mse_stackOverflow,ses_rmse_stackOverflow,holt_mae_tiobe,holt_mse_tiobe,holt_rmse_tiobe,holt_mae_wikipedia,holt_mse_wikipedia,holt_rmse_wikipedia,holt_mae_gtrend,holt_mse_gtrend,holt_rmse_gtrend,holt_mae_stackOverflow,holt_mse_stackOverflow,holt_rmse_stackOverflow,prophet_mae_tiobe,prophet_mse_tiobe,prophet_rmse_tiobe,prophet_mae_wikipedia,prophet_mse_wikipedia,prophet_rmse_wikipedia,prophet_mae_gtrend,prophet_mse_gtrend,prophet_rmse_gtrend,prophet_mae_stackOverflow,prophet_mse_stackOverflow,prophet_rmse_stackOverflow
SQL,0.24624389353295353,0.1273994588304072,0.2771596534306868,391.5278601355433,236964.26508304634,464.6120455026909,9.421511952333404,154.78415745971785,11.5200669358534,72.9743795036609,13577.723149153917,72.9743795036609,0.16796591587190876,0.09081238586505654,0.19561826057717663,337.0893194338494,213119.45451594074,406.8457146717682,7.6486239306968145,114.91861245004891,9.725388510019148,104.68562633342398,14741.667041427838,104.68562633342398,0.2143671975225959,0.10487817999525399,0.24575337075784098,353.0015459079546,222330.94323870106,423.9409263735748,8.307953686385954,133.37438858672414,10.290716082715955,164.41470098651502,34738.943491614584,164.41470098651502,1.019716854727235,2.348142369996066,1.1551908460562041,1090.7244348415431,2296686.6204218986,1224.7044696501484,48.08257447755903,5184.363179954421,53.91128122145223,3844.588822306824,15380158.687339809,3844.588822306824
MATLAB,0.18301422392651218,0.06500850445741045,0.2215317990351398,299.64169642371627,148708.86547942113,358.1939152480756,12.272658466931976,248.37098661556473,14.790085311002684,16.357701506132095,312.71406225674235,16.357701506132095,0.1805486508891304,0.06130440308926146,0.21851555168662817,367.7765258821887,250010.60863479442,430.64727281501075,15.319999985396834,361.9999994352434,17.594045842414054,14.572865827326007,320.72462722947773,14.572865827326007,0.17369937510638128,0.05537595958144922,0.2102379193589484,402.86595536754436,315940.4988593936,461.64059055535853,16.60826945130124,458.88902941102424,19.218719192091932,13.02415594886342,290.49499066222035,13.02415594886342,0.5843203105657558,0.5437552700496757,0.6381356054522882,1055.3051449872205,3381000.1587611735,1223.159938418517,24.462802997782262,990.960250492855,28.286619433831685,135.3441616872138,18819.992724900578,135.3441616872138
Rust,0.0981016574413742,0.03431900997709862,0.11700157870065435,38.85696305526453,2722.411413762482,46.022976742552274,0.44039563055296166,0.4909556039971458,0.5449602591747391,42.930377230785524,2073.7074342354977,42.930377230785524,0.0979931921681853,0.03378704200186924,0.1173745825870877,39.3520538781762,2786.606087464157,46.4838687872817,0.4533701197420575,0.5217916668024569,0.5577616765380222,31.800000208615927,1217.8000131368458,31.800000208615927,0.09717630565436947,0.0323804121110798,0.11656680867587772,35.668847390286324,2466.8435612985245,44.04773232928332,0.4454075952425879,0.37963643063322255,0.515480309178411,17.906743991850874,678.379779775754,17.906743991850874,0.07900022070602924,0.020647269749476997,0.09804760095784305,103.24758746784195,22363.347395017143,117.65845781939245,1.2978300393176425,4.239458118958519,1.4405547709018385,824.4293153960792,720085.4638392484,824.4293153960792
Scratch,0.21063975383917088,0.10430183052376758,0.246494386257553,1219.2595567025749,6398159.173414849,1560.7233966595627,8.504460322104205,249.0484438781923,10.338101267774832,-1.0,-1.0,-1.0,0.17879264083689764,0.07914110544408201,0.20979484069098903,1193.1718533331502,6350353.246857573,1537.3044018460746,8.603506081835453,265.4958216479955,10.414547029052105,-1.0,-1.0,-1.0,0.21458860924504655,0.1063159649968664,0.2527572055524869,1189.3338938882607,6154874.064060224,1515.8869017014208,8.754300609734022,267.1470070788638,10.43704943123588,-1.0,-1.0,-1.0,0.26796838572365617,0.1675212273652663,0.30232980907841694,2344.8136519415893,13068430.036060138,2748.595170413167,10.838159807667685,257.3206828353453,12.873139832985768,-1.0,-1.0,-1.0
PHP,1.0848734703270329,2.991636880740523,1.2192142552841483,912.834393450825,1566162.9913865603,1150.31122916196,3.1441241229993877,16.83037383324226,3.657730166813652,71.14158921173228,9197.931673728646,71.14158921173228,0.938894863677892,2.092040381902714,1.0742564071924205,1047.3986313400949,1896514.8889127467,1258.0980549305793,2.8308297252337487,12.951101027039167,3.350187022658274,100.59061689779615,11352.867120655035,100.59061689779615,1.1615931318387056,3.151090570176014,1.3735732545839296,821.4957736454857,1222681.3627333408,1056.7418936788802,2.3055620742025464,10.67506657291763,2.88943258415054,188.71766304425168,43076.11063628589,188.71766304425168,3.565167598835662,22.820266324566617,4.021489290954181,1829.542508566401,6137472.705852079,2072.3866163159914,10.782177805973648,241.6608131645311,11.890199229381986,3418.8725272227007,12456128.94140146,3418.8725272227007
Assembly,0.3989792448471624,0.4071375232829551,0.4727191694244481,452.0728684834994,308778.88822595007,518.8939618813936,13.166294447766461,247.2875978586478,15.087543652522422,11.73758008284868,197.93293406320623,11.73758008284868,0.38839181835899345,0.38723118397574224,0.4572535862178263,499.2189212179825,407200.0070263944,574.9236635032014,13.688541291966226,266.4831170327287,15.707496214758848,10.399999997019275,162.39999832508593,10.399999997019275,0.39737838714878904,0.4113467431899081,0.46557483629307317,445.6800395210262,350743.0468421712,527.0967376041752,14.964255143813403,320.1040144318577,16.761081709010433,17.787645847590035,564.5819935630302,17.787645847590035,0.38531262843091596,0.33791749113053104,0.44776093297894726,1381.8627663509237,3543167.3993691327,1595.0749361092317,36.621130843742144,3415.359803519531,41.41322544640119,458.0036909386872,232052.00900585257,458.0036909386872
R,0.3474161846931426,0.34505553876654466,0.3875538535884352,413.8721958539774,379450.7130417015,488.9155489028062,3.4182625262992885,20.553901764102523,4.08656485002885,6.836073670092114,109.58721097163398,6.836073670092114,0.3376284293864503,0.335401587468121,0.3826330468061101,411.53331290123833,393219.90287697624,485.0766265073993,3.224705769487612,17.18063168805824,3.8754388929118613,7.527716818362468,74.30371694697395,7.527716818362468,0.345054519240374,0.37545022996994104,0.3881259761670155,426.47782931112806,431487.96084549726,497.15199074145676,4.3154083071071865,29.340737150299248,5.098237191463243,22.868099799010057,654.9716415798355,22.868099799010057,0.5324631250545553,0.5788495940825342,0.5813293706451907,592.1403450347425,812309.2361264757,695.0393265047765,18.39233665995921,792.7703142127214,20.35444969585853,516.0175689594105,276821.03012125276,516.0175689594105
Ruby,0.4785494581731232,0.542873645998397,0.5684105240020628,499.33945121894806,530297.3477604619,603.8460074257055,0.6841296014533784,0.8518287920208711,0.7946178754554978,13.947775193179126,243.3539539594921,13.947775193179126,0.46105232552503644,0.4947941934128505,0.5515949398588886,626.0150863048736,811591.8888846644,711.6608560221615,0.5784374712349446,0.7823672487390133,0.7229167723571013,17.27489933144158,425.60555011298027,17.27489933144158,1.1358130809472946,7.0533159281451585,1.3064840473592045,670.857625897879,895077.8535995785,760.4446374207415,0.6867689935930272,1.0283130183097358,0.8197123083986728,53.682138318552134,3512.5579219029105,53.682138318552134,1.4586312088870175,4.001678239912991,1.5904395256878632,811.1677643353216,1814645.9911503617,936.4502406736468,3.9708256577245478,36.7578643723473,4.407267817709366,757.8720665077159,686347.2538926944,757.8720665077159
COBOL,0.17387752688012997,0.05501815546504477,0.20607636949408553,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17235640738344107,0.053902431126208315,0.20405952075700712,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2128042822722757,0.07793300145475758,0.2537170192690023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7588521047123311,3.3341284100133683,0.8380789977651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Swift,0.22668303454946487,0.22347728210707024,0.26990180463593216,77.4852902854764,9618.079448095019,89.33890814264325,4.824558165895697e-06,2.3276361496110845e-11,4.824558165895697e-06,9.858046064788699,184.21946549224714,9.858046064788699,0.20410399836184046,0.16996273126973002,0.22630486779965064,60.56784130594896,7942.146881806,72.16342992743844,0.0,0.0,0.0,13.79145482318555,306.8428099481247,13.79145482318555,0.23123402128682632,0.22244549263717758,0.2751062156712484,69.22175419596198,9817.282403774781,79.9407856041828,5.493667651609445e-09,7.797429041705735e-17,5.497591173620225e-09,34.72827809040317,1584.8742369729146,34.72827809040317,0.38186330745829145,0.3470269461954997,0.40192676549735673,245.56628527352822,120740.49373649243,274.03012100902725,0.0,0.0,0.0,775.3379640432955,668805.115495122,775.3379640432955
