programming language,job amount,average salary,location
BASIC A+,6,3509775.333982419,"['Yogyakarta', 'Jakarta']"
Cell,2,7407602.577650769,['Jakarta']
MIMIC,4,5400189.961071825,"['East Java', 'West Java']"
Charity,2,6520336.743574051,"['West Nusa Tenggara', 'Central Java']"
Meson,1,12264357.697674418,['Jakarta']
DYNAMO,1,12264357.697674418,['Jakarta']
Haskell,3,9026520.950991984,"['Central Java', 'Jakarta']"
PLANNER,2,12264357.697674418,['Jakarta']
Gherkin,3,6075217.678632851,['Jakarta']
OBJ,2,12264357.697674418,['Jakarta']
frame,4,5278802.215552111,['Jakarta']
Tea,1,31222900.0,['Jakarta']
Sqlalchemy,6,3709826.3210376888,['Jakarta']
Erlang,14,3291520.9981992943,['Jakarta']
Sage,5,3193881.4513005977,['Banten']
Lisp,1,2550847.4576271186,['Central Java']
Lua,1,2550847.4576271186,['Central Java']
F#,1,2550847.4576271186,['Central Java']
bloom,3,3112134.04887096,['Central Java']
score,4,2097275.7795171365,"['Bali', 'Jakarta']"
HL7,4,3055351.5542120533,['Jakarta']
VBA,9,2669043.566689615,"['West Java', 'Jakarta']"
ActionScript,3,3112134.04887096,['Jakarta']
Elixir,4,3212282.5826624166,['Jakarta']
MAPPER,1,3178571.571428572,['Jakarta']
Boo,7,2400483.054421769,['Jakarta']
Pan,2,2902285.785714286,['Jakarta']
l2,13,5554524.992813157,"['Central Java', 'Jakarta']"
Augment,2,1895989.2583732056,['Jakarta']
FP,2,776315.7894736842,['Jakarta']
fp,2,776315.7894736842,['Jakarta']
Vale,2,776315.7894736842,['Jakarta']
candor,1,776315.7894736842,['West Java']
Stata,1,776315.7894736842,['Riau Islands']
Arc,1,3015662.727272727,['Jakarta']
DML,8,3062648.019556395,"['Yogyakarta', 'Jakarta']"
IPL,1,3015662.727272727,['Riau Islands']
XL,4,3732736.052989353,['Jakarta']
Star,3,2975334.568968969,['Jakarta']
fox,2,2840777.777777778,['Yogyakarta']
LEAP,7,2382912.6984126987,['Jakarta']
Dockerfile,1,5592859.090909091,['Jakarta']
Dc,1,5592859.090909091,['Jakarta']
VBScript,2,3327448.015974184,['Jakarta']
Coral,1,3244448.151351352,['Jakarta']
CORAL,1,3244448.151351352,['Jakarta']
UniVerse,1,1520833.3333333333,['Jakarta']
C2,38,1560416.6666666665,"['South Kalimantan', 'Riau', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']"
