programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,avg wiki views (monthly),github user count,average search count,stack overflow count
CONVERT,0.0,23,10261980.620536214,"['Bali', 'Yogyakarta', 'West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Frank,0.0,1,9373333.333333334,['Bali'],0,-1.0,-1,0.0,0
P,0.0,38,12245767.634765225,"['East Kalimantan', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
lever,0.0,1,9373333.333333334,['Jakarta'],0,-1.0,-1,0.0,0
JADE,0.0,5,7745929.005253856,['Jakarta'],0,-1.0,-1,0.0,0
Blue,0.0,3,85880514.92929292,"['Bali', 'Banten']",0,-1.0,-1,0.0,0
THINK C,0.0,11,5742402.231619129,['Jakarta'],0,-1.0,-1,0.0,0
Inform,0.05,32,8375049.3760997085,"['East Kalimantan', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
NATURAL,0.05,68,9016125.28043656,"['Bali', 'West Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
Reason,0.0,11,20211266.15093236,['Jakarta'],0,-1.0,-1,0.0,0
ARM,0.0,6,4633452.373737373,['Jakarta'],0,-1.0,-1,0.0,0
SR,0.0,6,6667699.874120644,"['Yogyakarta', 'West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Crystal,0.05,11,5114617.806365192,"['Banten', 'Jakarta']",0,-1.0,9,0.0,38
PowerHouse,0.0,11,6412519.519480521,"['East Java', 'West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Conceptual,0.0,22,6264479.335630361,"['Bali', 'North Sumatra', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
Factor,0.0,10,7026807.65904218,"['Central Java', 'Jakarta']",0,-1.0,0,0.0,0
False,0.0,2,5447083.333333334,['Jakarta'],0,-1.0,-1,0.0,0
RPL,0.0,4,7686666.666666667,"['Yogyakarta', 'Jakarta']",0,-1.0,-1,0.0,0
SQLite,0.0,12,5033166.800400964,"['Central Java', 'East Java', 'Jakarta']",3600,287.52252252252254,-1,31.44643,2010
fe,0.0,7,4044916.808463504,['Jakarta'],0,-1.0,-1,0.0,0
Chrome,0.0,3,10337008.121447029,"['West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Tao,0.0,4,7667711.864406779,['Jakarta'],0,-1.0,-1,0.0,0
Flavors,0.0,4,4648998.8566308245,"['Central Java', 'Jakarta']",0,-1.0,-1,0.0,0
Cyber,0.0,15,4851949.876868513,"['Central Java', 'West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Bash,0.05,42,6491318.345677298,"['East Kalimantan', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",319,51.25,-1,0.0,509
DEMOS,0.0,7,8340721.645021646,"['West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Q,0.05,4,13753915.681818182,['Jakarta'],0,-1.0,-1,0.0,0
PROMETHEUS,0.0,29,4657207.470512622,"['North Sumatra', 'Yogyakarta', 'Central Java', 'Jakarta']",152,-1.0,-1,0.0,0
Gist,0.0,3,4191111.111111112,['Jakarta'],0,-1.0,-1,0.0,0
PILOT,0.0,6,10826544.252877614,['Jakarta'],0,-1.0,-1,0.0,0
REDUCE,0.0,28,5395293.120739435,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Banten']",0,-1.0,-1,0.0,0
Monkey,0.0,1,9373333.333333334,['Jakarta'],0,-1.0,-1,0.0,0
Z,0.0,1,9373333.333333334,['Bali'],0,-1.0,-1,0.0,0
abs,0.0,1,9373333.333333334,['Jakarta'],0,-1.0,-1,0.0,0
FaCT,0.0,5,29778526.01832276,"['Bali', 'Jakarta']",0,-1.0,-1,0.0,0
MACRO,0.0,2,68067052.86363636,['Jakarta'],0,-1.0,-1,0.0,0
FLUX,0.0,4,11001366.058827206,"['Banten', 'Jakarta']",0,-1.0,0,0.0,0
ECMAScript,0.0,3,13176238.465116275,"['Yogyakarta', 'Jakarta']",68,-1.0,-1,2.741071,0
Argus,0.0,3,10322222.222222224,['Jakarta'],0,-1.0,-1,0.0,0
Assembly,1.13,6,9375530.66194122,"['Riau Islands', 'Central Java', 'East Java']",2200,1327.882882882883,48,54.96429,304
PowerShell,0.21,21,5552177.658067975,"['Central Java', 'Jakarta']",847,8.558558558558559,46,23.9375,230
Visual FoxPro,0.67,5,4916170.059592846,"['East Java', 'Jakarta']",1500,480.0810810810811,-1,9.125,0
FoxPRO,0.67,6,4637549.741552597,"['East Java', 'Jakarta']",1600,16.63063063063063,-1,3.1875,0
Delphi,1.68,5,5088090.1441868255,"['East Java', 'Jakarta']",770,448.5495495495496,-1,0.0,131
SCM,0.0,2,9190476.19047619,['Jakarta'],0,-1.0,-1,0.0,0
Red,0.0,14,9600474.90325898,"['Riau Islands', 'Yogyakarta', 'West Java', 'Jakarta']",0,-1.0,0,0.0,0
MetaL,0.0,3,6789724.960127592,['Jakarta'],0,-1.0,0,0.0,0
SaltStack,0.0,1,14000000.0,['Jakarta'],31,-1.0,0,0.0,0
bamboo,0.0,13,4155178.345026291,['Jakarta'],0,-1.0,-1,0.0,0
Mercury,0.0,3,12842905.131782943,['Jakarta'],0,-1.0,0,0.0,0
UNITY,0.0,12,6091128.553806561,"['Bali', 'East Java', 'Banten', 'Jakarta']",10000,604.6444444444444,-1,26.0625,0
Arduino,0.0,2,3889331.25,['Jakarta'],23000,3293.4144144144143,-1,65.04464,39
SAS,0.76,15,3107142.7691049664,"['Yogyakarta', 'Central Java', 'Banten', 'Jakarta']",3800,165.94594594594594,1,0.0,14
SPSS,0.0,22,2049910.28708134,"['Riau Islands', 'Central Java', 'Banten', 'Jakarta']",83000,1579.3423423423424,-1,0.0,0
SIGNAL,0.0,4,2974287.2807017546,['Central Java'],0,-1.0,-1,0.0,0
Spatial,0.0,15,3137366.9030568367,['Jakarta'],450,-1.0,-1,0.0,0
AL,0.0,5,5022470.8556217095,"['Central Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
jasper,0.0,3,11754785.899224805,"['Banten', 'Jakarta']",0,-1.0,-1,0.0,0
PowerBuilder,0.0,1,11000000.0,['Jakarta'],527,-1.0,0,1.030303,0
SRL,0.0,2,11632178.848837208,['Central Java'],0,-1.0,-1,2.25,0
Logos,0.21,2,6813000.0,['Jakarta'],0,-1.0,-1,0.0,0
Virgil,0.0,1,11000000.0,['Jakarta'],0,-1.0,-1,0.0,0
Dale,0.0,1,11000000.0,['Jakarta'],0,-1.0,-1,0.0,0
LUCID,0.0,1,11000000.0,['Banten'],0,-1.0,-1,0.0,0
CUDA,0.0,2,15000000.0,['Jakarta'],284,-1.0,0,0.0,0
LINQ,0.0,1,12264357.697674418,[],1000,-1.0,-1,0.0,0
JOVIAL,0.0,2,12264357.697674418,['Jakarta'],0,-1.0,-1,0.0,0
APL,0.05,3,6019884.435550963,['Jakarta'],0,-1.0,0,0.0,28
BASIC A+,0.0,6,3509775.333982419,"['Yogyakarta', 'Jakarta']",0,-1.0,-1,0.0,0
Cell,0.0,2,7407602.577650769,['Jakarta'],0,-1.0,-1,0.0,0
MIMIC,0.0,4,5400189.961071825,"['East Java', 'West Java']",0,-1.0,-1,0.0,0
Charity,0.0,2,6520336.743574051,"['West Nusa Tenggara', 'Central Java']",0,-1.0,-1,0.0,0
Meson,0.0,1,12264357.697674418,['Jakarta'],0,-1.0,0,0.0,0
DYNAMO,0.0,1,12264357.697674418,['Jakarta'],0,-1.0,-1,0.0,93
Haskell,0.56,3,9026520.950991984,"['Central Java', 'Jakarta']",20,91.45045045045045,40,8.857143,142
PLANNER,0.0,2,12264357.697674418,['Jakarta'],0,-1.0,-1,0.0,0
Gherkin,0.0,3,6075217.678632851,['Jakarta'],1000,-1.0,0,0.0,0
frame,0.0,4,5278802.215552111,['Jakarta'],0,-1.0,-1,0.0,0
Tea,0.0,1,31222900.0,['Jakarta'],0,-1.0,-1,0.0,0
Sqlalchemy,0.0,6,3709826.3210376888,['Jakarta'],226,22.296296296296298,-1,11.66964,0
Erlang,0.16,14,3291520.9981992943,['Jakarta'],101,-1.0,9,13.83929,118
Sage,0.0,5,3193881.4513005977,['Banten'],0,87.45045045045045,-1,0.0,0
Lisp,0.52,1,2550847.4576271186,['Central Java'],104,101.03703703703704,1,10.89286,23
Lua,0.56,1,2550847.4576271186,['Central Java'],327,249.2882882882883,145,17.46429,167
F#,0.15,1,2550847.4576271186,['Central Java'],0,-1.0,2,0.0,95
bloom,0.0,3,3112134.04887096,['Central Java'],0,-1.0,-1,0.0,0
score,0.0,4,2097275.7795171365,"['Bali', 'Jakarta']",0,-1.0,-1,0.0,0
HL7,0.0,4,3055351.5542120533,['Jakarta'],60,-1.0,-1,0.0,0
VBA,0.0,9,2669043.566689615,"['West Java', 'Jakarta']",3500,512.7567567567568,-1,69.3125,287
ActionScript,0.05,3,3112134.04887096,['Jakarta'],1000,358.6216216216216,19,7.973214,0
Elixir,0.16,4,3212282.5826624166,['Jakarta'],233,182.47142857142856,17,0.0,189
MAPPER,0.0,1,3178571.571428572,['Jakarta'],0,-1.0,-1,0.0,0
Boo,0.0,7,2400483.054421769,['Jakarta'],0,-1.0,0,3.88,0
Pan,0.0,2,2902285.785714286,['Jakarta'],0,-1.0,0,0.0,0
l2,0.0,13,5554524.992813157,"['Central Java', 'Jakarta']",0,-1.0,-1,0.0,0
Augment,0.0,2,1895989.2583732056,['Jakarta'],0,-1.0,-1,0.0,0
FP,0.0,2,776315.7894736842,['Jakarta'],0,-1.0,-1,0.0,0
